Latitude,Longitude,Distance_to_Park,Proximity_to_Water,Vegetation_Density,Human_Population_Density,Reported_Conflict_Incidents
1.2533,36.5061,16.03,0,0.42,102,2
1.2377,35.2768,2.23,1,0.56,131,5
-1.9348,36.4587,1.17,0,0.62,103,5
-1.74,37.9317,6.7,0,0.33,159,8
-0.6801,38.1471,10.61,1,0.58,73,3
-1.4984,36.9756,15.63,1,0.22,130,1
0.7058,38.6387,1.12,0,0.65,123,4
-0.1229,39.4649,7.62,0,0.58,104,2
0.6517,35.344,11.34,0,0.49,88,3
-1.8043,37.0893,19.34,0,0.2,66,4
0.6421,37.9992,3.05,1,0.41,151,9
1.6692,39.1946,15.72,1,0.41,200,9
-1.8628,38.258,11.34,0,0.44,74,7
1.2936,38.3956,15.66,1,0.23,127,7
1.7841,38.6637,19.9,1,0.69,171,3
-1.3947,38.4546,14.79,1,0.24,107,7
0.0018,39.142,2.96,1,0.78,126,0
-1.2169,35.3435,16.82,0,0.38,66,9
1.1593,39.7999,4.45,1,0.61,196,9
-0.7705,38.0343,13.72,0,0.75,77,1
0.1214,37.4116,2.88,0,0.31,190,6
-1.8236,35.151,5.98,0,0.58,64,6
-0.2504,38.1737,8.3,1,0.69,181,1
-1.1021,37.1317,5.54,1,0.31,189,4
1.9892,37.7069,9.55,0,0.75,66,9
1.5504,35.2016,5.27,0,0.61,158,9
-0.9511,38.4459,8.3,0,0.27,52,0
1.6413,37.5098,7.38,1,0.69,183,10
0.051,37.6604,12.65,0,0.48,90,2
1.1454,35.559,7.8,1,0.72,109,7
0.3655,38.1479,6.79,0,0.56,199,4
0.5179,35.4475,6.06,0,0.21,75,10
-0.1663,37.8635,5.53,0,0.5,125,10
-1.6096,36.4791,3.19,0,0.42,134,6
1.036,37.1157,3.78,1,0.74,129,10
0.6675,38.1032,6.34,0,0.78,156,8
-0.9604,36.1392,19.61,0,0.23,178,0
0.7642,37.6603,4.81,0,0.39,177,6
-1.2233,38.3812,6.16,0,0.34,117,6
-1.0304,35.7212,17.06,1,0.63,84,9
-1.787,36.5514,7.81,1,0.65,146,6
-1.9813,38.3644,1.4,1,0.69,77,9
1.2564,38.0604,1.17,1,0.37,104,0
-0.8125,35.9929,11.66,1,0.63,133,4
1.7405,36.0945,5.11,0,0.52,114,5
1.9394,37.7682,14.25,0,0.47,194,1
-0.6561,38.8442,11.78,1,0.58,159,10
-0.1936,38.3564,18.16,1,0.36,105,5
-1.5739,37.8439,6.06,1,0.38,106,4
1.2395,36.5637,18.21,1,0.32,108,5
1.891,36.1499,8.61,1,0.24,96,1
1.334,38.3395,4.78,0,0.51,195,7
-1.369,37.1925,18.91,1,0.41,146,5
-0.566,35.2003,17.05,1,0.41,174,7
0.7404,39.7663,3.09,0,0.61,61,8
0.9734,37.0307,11.27,1,0.49,195,7
0.2362,39.7845,16.6,0,0.4,67,1
0.9291,38.9995,19.21,1,0.25,183,9
-0.8761,38.7657,2.91,1,0.5,129,9
1.0949,38.0323,12.49,1,0.72,176,0
1.3597,38.371,3.22,0,0.48,107,7
-1.3969,38.4545,18.73,0,0.77,56,7
1.6723,36.4142,8.05,0,0.4,183,0
-1.2203,38.9398,7.6,1,0.31,104,10
0.2602,35.6171,11.09,0,0.27,186,1
0.9322,39.3955,16.59,0,0.58,59,7
-1.0012,38.5682,3.96,0,0.46,139,8
-0.8596,39.4256,12.58,1,0.44,123,7
-0.9411,37.2759,3.24,1,0.62,67,3
0.1717,36.2175,7.02,0,0.79,105,5
0.0504,35.7123,8.98,1,0.56,99,3
-0.21,39.3211,12.59,0,0.23,123,6
0.4787,39.647,7.15,0,0.54,186,5
-0.2422,36.5911,17.71,1,0.29,137,8
-0.3886,37.4086,14.58,0,0.31,134,2
0.3533,39.0469,6.61,1,0.68,192,3
-1.2888,36.1432,11.8,1,0.55,68,4
-0.7381,37.3242,17.21,0,0.41,85,3
-0.8773,38.7468,2.67,0,0.27,141,8
-0.2,35.9159,16.76,0,0.75,118,10
-0.7872,36.4644,12.5,0,0.5,134,10
1.6811,36.1789,8.52,0,0.6,82,7
0.0217,35.9793,9.32,0,0.27,64,8
0.9871,37.1133,10.65,0,0.51,109,5
-0.9413,36.5743,10.36,0,0.66,177,3
0.0532,35.4817,8.21,0,0.76,155,2
1.8411,38.8709,2.86,0,0.74,62,2
-0.1948,39.0628,2.2,0,0.25,99,0
-1.7556,38.6111,9.44,0,0.23,152,3
1.3393,36.8532,18.94,1,0.21,98,0
-1.1348,39.6432,16.12,0,0.7,180,6
-0.3541,38.9321,12.81,0,0.69,94,8
-1.7766,39.3634,4.95,0,0.54,188,1
1.7117,36.8428,6.34,0,0.24,79,10
1.6595,37.0808,1.34,1,0.24,98,8
-0.6135,39.5804,7.27,0,0.51,93,0
0.4369,35.297,4.51,0,0.6,156,3
-1.7662,35.351,8.18,0,0.25,176,9
1.0811,36.2781,14.46,0,0.24,143,7
-1.1556,35.9072,3.43,0,0.65,130,3
-0.9767,37.3341,19.32,1,0.76,69,0
0.3255,38.3933,1.21,0,0.47,128,10
-0.6621,39.4545,3.14,0,0.41,76,10
1.6307,39.7572,14.56,0,0.56,137,7
-1.7816,37.2097,8.4,0,0.34,187,5
1.439,36.9222,18.35,1,0.8,102,10
0.1307,38.5805,9.94,1,0.7,160,10
1.9627,35.658,14.0,0,0.64,158,3
0.0174,38.4796,12.69,0,0.77,153,1
-0.6353,35.762,7.76,0,0.32,135,3
0.4047,39.1789,11.81,0,0.28,121,5
1.3215,39.3033,9.16,0,0.63,170,6
0.9539,36.3681,1.53,1,0.26,188,9
1.1452,36.7844,19.87,1,0.75,130,2
-0.3648,36.6741,19.62,1,0.24,54,3
-0.5774,37.2023,6.68,1,0.75,88,5
0.8755,37.0238,6.2,1,0.32,189,9
1.8756,35.0509,9.49,1,0.67,96,8
-0.7704,37.9977,4.87,1,0.31,155,2
-1.2423,38.6374,4.17,0,0.51,125,4
0.0706,38.974,18.96,1,0.45,99,9
1.6842,38.2398,13.96,0,0.74,149,10
-0.8647,37.2029,9.9,1,0.22,60,4
-1.6296,37.8305,8.17,1,0.48,149,10
0.8083,35.7017,16.72,1,0.42,57,4
1.1594,37.0058,4.0,1,0.74,183,9
-0.2537,36.33,16.31,0,0.58,156,3
-1.6306,38.9908,5.41,1,0.63,182,7
1.0493,37.2854,12.82,0,0.32,187,4
-1.662,39.7862,11.06,0,0.28,90,3
-1.3874,39.9292,13.12,0,0.25,154,8
-1.0693,35.2991,13.19,0,0.26,114,3
1.2054,39.1663,5.67,1,0.21,92,10
1.9372,36.7965,7.46,1,0.31,190,7
0.2126,36.1209,19.46,0,0.79,86,6
-1.2913,35.1414,2.05,1,0.29,129,0
-0.4109,39.5685,4.81,1,0.24,121,6
-0.8554,39.5431,15.19,1,0.2,67,3
1.3177,37.6973,16.95,1,0.39,107,10
1.4287,38.8637,5.97,1,0.73,177,0
1.509,38.6117,8.87,1,0.62,86,7
-1.7967,38.8593,19.5,1,0.32,122,9
0.1134,37.2864,8.58,1,0.74,152,4
-0.3836,38.6763,5.6,0,0.55,172,7
0.8631,35.4312,5.05,1,0.31,67,3
1.6668,38.2741,3.79,0,0.79,88,8
0.4011,35.7466,12.2,0,0.49,179,8
1.5221,39.905,2.67,1,0.31,62,4
1.2317,35.116,3.07,1,0.65,98,8
1.4028,39.3613,18.1,0,0.43,92,1
0.0932,36.8589,15.05,1,0.35,168,9
0.7863,35.1653,8.66,1,0.48,91,10
-1.1475,38.7634,18.25,0,0.56,131,0
1.5416,39.2876,16.08,1,0.45,164,7
0.0681,37.1182,16.94,1,0.21,93,1
-1.456,37.3957,18.21,0,0.23,98,5
-0.5708,39.1283,6.48,0,0.43,140,3
1.8733,37.7093,9.79,0,0.74,106,2
-1.6223,39.086,14.94,0,0.49,85,4
-0.2011,37.1308,12.03,1,0.74,56,2
-0.9032,37.4127,19.01,1,0.45,183,4
1.4165,36.453,14.96,0,0.73,193,9
0.3596,36.3828,1.69,1,0.48,71,2
-1.9365,38.8493,19.14,0,0.67,167,4
0.8807,36.2614,9.19,1,0.7,170,10
-1.4657,37.734,3.22,1,0.35,82,2
0.4728,39.4771,2.68,0,0.31,139,0
1.1516,37.5244,9.95,0,0.44,121,1
1.5534,38.4915,18.72,1,0.63,158,2
0.2802,36.2442,19.61,0,0.41,160,5
-0.5412,36.6598,5.87,1,0.54,124,3
0.3455,37.4175,16.71,0,0.27,117,2
1.8123,37.5934,8.04,1,0.41,77,0
1.9797,35.7252,8.04,0,0.51,56,3
-0.7198,37.4424,11.42,0,0.63,82,2
-1.0106,36.4535,12.95,1,0.61,82,9
-0.7223,35.1893,15.53,0,0.31,80,5
0.0766,38.7395,4.84,0,0.21,83,7
-1.8114,39.4143,13.58,0,0.63,127,4
1.5189,35.1131,19.6,0,0.41,153,4
1.2193,39.9301,7.81,1,0.72,80,3
-0.4359,36.941,10.5,1,0.36,132,4
0.8698,37.4429,6.75,1,0.67,122,5
-0.7088,35.2098,11.15,0,0.2,181,6
0.0721,35.1092,8.53,0,0.32,120,2
-0.8433,36.6548,10.18,1,0.77,95,8
-0.4858,37.7957,12.53,1,0.73,151,0
1.1202,36.5352,14.95,1,0.74,158,6
-1.8667,36.4516,11.98,1,0.3,174,0
1.3844,36.8812,14.61,0,0.34,85,0
-1.9931,38.988,18.11,1,0.51,157,6
0.6791,39.9137,10.07,1,0.79,167,5
1.2448,39.4167,11.94,1,0.74,77,5
-0.1555,38.2051,1.03,0,0.5,184,9
-0.8068,35.2988,6.0,0,0.65,95,0
1.9918,37.9866,9.37,0,0.79,62,7
-0.0148,38.6976,17.72,0,0.59,131,5
1.828,35.8336,15.57,1,0.48,112,2
1.2576,39.8291,1.99,1,0.5,68,4
-1.9771,36.9039,16.15,0,0.78,133,0
1.2977,36.8899,14.78,1,0.66,181,5
1.0698,37.7894,13.66,1,0.26,141,5
1.8238,37.7368,10.25,0,0.49,116,1
1.3753,36.2369,4.86,1,0.67,133,7
-0.7381,37.6156,17.06,0,0.46,71,5
1.2474,37.6432,11.86,1,0.54,75,9
0.429,37.1712,3.3,1,0.21,104,7
-0.3862,39.2373,12.95,1,0.41,100,4
-0.0728,38.7884,11.33,0,0.5,56,8
-1.0677,38.3038,10.8,1,0.73,172,6
-1.8356,37.4222,7.8,1,0.76,184,8
-1.151,37.3655,8.69,1,0.24,173,10
-1.2451,38.4199,5.87,0,0.37,162,0
-0.031,39.6825,16.3,1,0.44,179,4
1.7428,36.0189,8.53,0,0.57,104,7
0.5844,37.1166,6.89,0,0.69,139,8
-0.7143,39.7699,14.69,1,0.64,79,4
-1.2368,37.7812,12.22,1,0.36,71,1
-0.0134,36.9291,7.59,1,0.4,122,2
0.9745,39.0155,11.12,1,0.62,52,7
0.1336,39.5015,17.11,0,0.54,78,0
1.752,38.5307,2.78,1,0.66,171,4
0.2371,36.336,4.11,0,0.48,149,8
-0.8411,39.1397,3.78,1,0.32,108,3
0.6028,38.1235,12.68,0,0.51,136,0
-1.7239,36.8224,1.63,0,0.32,132,9
-1.8591,37.2977,17.63,0,0.79,81,2
0.0953,36.7481,3.61,1,0.24,149,6
1.3805,35.8171,17.38,1,0.31,98,3
1.3333,39.9202,2.72,0,0.32,51,2
1.5903,35.3969,8.43,1,0.26,77,6
-0.2043,39.3358,3.46,0,0.4,145,7
-1.1799,37.3176,19.07,1,0.48,67,5
1.2791,39.5188,5.7,0,0.59,120,0
-0.5801,35.177,2.32,0,0.65,84,2
-0.8463,37.142,16.53,1,0.47,94,5
1.6541,35.1296,17.44,0,0.44,190,5
-1.3057,35.9578,6.75,1,0.31,123,9
1.1611,38.7042,1.94,1,0.35,156,3
0.7476,37.7463,11.4,0,0.29,135,3
1.537,36.0691,9.2,0,0.43,60,9
0.4129,35.6479,11.01,0,0.46,106,0
-1.8592,39.7079,11.55,1,0.75,171,9
0.6117,35.6535,6.05,1,0.65,199,10
-1.6477,39.6584,17.01,0,0.67,167,1
1.321,36.7601,17.18,1,0.32,101,10
-0.1284,36.4252,1.54,1,0.71,126,1
-1.363,38.9464,15.21,0,0.3,176,4
0.2018,36.5791,2.79,1,0.79,194,3
-1.6111,36.2177,1.53,0,0.79,158,0
-0.148,35.4935,18.06,1,0.59,200,7
0.8437,39.7526,1.1,1,0.57,144,2
1.3773,37.0826,1.57,0,0.38,51,9
-1.6241,39.6249,9.2,0,0.75,70,9
1.5979,36.5405,10.72,0,0.38,75,3
-0.3599,35.2816,1.38,0,0.49,60,2
-1.391,35.496,4.81,0,0.21,69,2
1.7829,37.5049,7.49,0,0.26,150,0
1.7089,38.0369,15.72,0,0.73,111,6
0.62,37.8646,6.88,0,0.23,96,8
0.1559,36.017,17.29,1,0.36,64,8
-0.6348,38.2965,18.7,0,0.57,188,6
1.6575,39.1361,2.94,1,0.63,55,4
-1.4362,38.6517,2.04,1,0.52,60,1
0.9047,37.6235,16.91,1,0.7,151,0
1.6349,39.1085,13.19,1,0.54,88,1
-1.3193,39.756,14.72,1,0.6,74,1
-1.7062,38.829,10.35,0,0.61,138,0
0.0465,35.4704,8.27,0,0.71,51,5
-1.7309,39.885,12.15,1,0.58,115,1
-0.501,36.2422,15.11,0,0.5,195,2
0.3004,37.0646,1.39,1,0.47,143,0
-1.7963,35.324,7.39,1,0.25,116,10
1.5075,39.6846,3.43,0,0.24,134,7
1.1245,37.7509,8.83,0,0.62,196,7
-1.3643,35.1254,6.62,1,0.22,188,2
1.2548,38.1904,17.52,0,0.33,67,0
-0.3623,37.001,2.26,0,0.33,136,10
-0.6685,37.4434,17.14,0,0.66,193,9
1.1293,35.4324,4.6,0,0.58,133,1
1.9007,37.917,17.07,0,0.26,72,5
-1.9574,38.9176,14.2,1,0.52,171,0
-1.7262,37.8107,8.22,1,0.8,52,0
-0.0185,37.0523,3.66,0,0.78,123,2
-1.996,35.0158,14.79,1,0.37,150,9
-0.6625,35.0412,3.34,0,0.57,134,8
0.9084,37.3988,19.5,1,0.48,107,7
0.4068,36.6681,19.92,0,0.64,122,7
-0.3274,38.6502,4.39,0,0.61,66,0
-0.2278,35.3356,19.63,0,0.71,132,5
0.9242,37.7117,9.02,0,0.37,96,0
-0.7495,38.7355,1.38,0,0.55,122,3
0.4548,35.6395,14.4,0,0.68,162,2
-1.7365,36.6596,10.9,1,0.76,76,7
0.4376,37.5523,11.74,1,0.31,137,6
1.5096,39.9876,17.95,1,0.76,107,5
1.0047,37.9899,11.14,0,0.77,77,10
-0.5206,38.9473,9.42,1,0.61,182,5
-0.8151,35.8313,14.75,0,0.4,137,4
-1.4754,38.0397,17.21,1,0.32,76,6
1.2995,35.1613,7.8,1,0.52,190,10
1.6058,37.1925,13.72,1,0.71,132,7
1.6337,37.9523,19.74,0,0.76,127,1
1.149,39.9722,9.7,1,0.26,149,6
-1.0577,36.5006,1.77,0,0.5,124,10
-0.6145,35.34,17.27,1,0.7,52,4
0.1835,36.3657,10.89,1,0.27,82,5
-1.1527,38.8327,18.23,1,0.71,197,7
0.0547,39.5418,6.67,0,0.78,109,4
-1.8667,38.8734,15.65,1,0.52,134,8
-0.2594,39.9276,17.48,0,0.44,163,10
-0.0544,36.7602,5.1,1,0.75,88,10
0.0801,38.2931,9.19,0,0.21,122,2
-1.4515,38.6524,9.55,1,0.21,146,2
1.6935,39.1169,15.61,1,0.74,172,5
1.5185,35.6196,10.84,1,0.4,185,7
-1.7694,37.8252,19.51,1,0.75,130,3
1.8248,39.8672,1.64,0,0.75,51,5
-0.2624,35.2285,11.3,1,0.79,57,6
-0.7652,35.9974,14.4,1,0.51,83,3
1.1449,37.4323,2.83,1,0.24,131,6
-1.0282,36.4257,4.11,0,0.3,172,6
1.5758,37.6338,16.89,0,0.78,150,6
-0.9017,38.4625,19.97,0,0.2,50,8
1.5968,36.3148,9.46,1,0.75,103,9
1.4503,39.0216,6.91,0,0.56,109,1
-0.7607,38.7211,7.11,1,0.74,197,0
0.6351,39.0674,4.01,0,0.35,76,8
1.9004,35.6385,11.27,1,0.28,79,8
0.8829,37.1535,4.35,1,0.27,177,9
1.5207,38.8919,3.04,1,0.38,177,5
-0.368,39.8462,4.78,1,0.74,173,3
0.5197,39.2333,14.94,0,0.5,56,6
0.738,39.4072,18.84,1,0.59,153,9
-1.8709,37.3465,2.56,1,0.66,170,8
-1.0745,35.3162,3.73,0,0.33,139,1
-0.7496,37.5664,2.19,0,0.8,119,5
-0.4358,36.5479,15.03,0,0.51,135,7
-0.1262,38.9563,3.07,0,0.63,123,0
-1.9439,39.0493,17.84,1,0.67,166,3
-1.9736,38.6299,6.6,1,0.64,83,8
-1.3629,35.5578,6.42,0,0.38,159,8
0.1024,35.8586,4.56,1,0.51,81,10
1.6163,39.8711,1.84,0,0.38,128,10
-1.9973,36.4698,9.4,1,0.74,71,6
-0.3375,38.7811,2.79,1,0.31,121,8
-1.6786,35.1396,12.25,0,0.43,191,6
-1.0736,35.1827,12.2,0,0.44,94,9
1.7119,35.6846,12.55,1,0.76,56,5
0.1901,36.0671,15.23,0,0.66,126,1
-0.5684,37.2166,13.71,1,0.64,184,2
-0.3966,37.8184,8.21,0,0.53,195,1
0.6126,37.7152,17.65,1,0.47,161,2
-0.7733,39.1175,8.21,0,0.4,124,4
0.3508,36.1491,13.2,1,0.22,63,4
-1.7376,38.0889,18.8,0,0.32,74,7
0.7335,35.6628,1.73,0,0.21,190,9
-1.1066,36.3932,15.68,1,0.72,173,2
-1.2705,38.6812,5.67,0,0.41,187,7
-0.9683,38.175,15.59,1,0.36,163,8
1.864,38.2005,16.43,0,0.38,152,1
1.0923,37.6103,19.68,0,0.3,188,4
1.2322,38.659,10.16,0,0.8,171,5
0.1394,39.4632,4.29,0,0.52,75,8
1.5007,38.3487,8.59,0,0.55,164,7
-1.679,37.0024,8.76,1,0.74,130,8
1.5256,39.2195,6.44,0,0.63,78,8
1.8152,37.1615,19.64,1,0.63,51,3
1.5081,38.8804,15.83,0,0.63,97,7
-1.2661,39.9618,16.73,0,0.75,58,4
-1.8775,37.4861,17.18,1,0.68,63,10
0.2474,35.6508,14.36,0,0.71,93,0
1.3454,37.0402,11.33,0,0.71,187,2
0.5521,39.1309,9.73,0,0.35,163,10
-0.2868,36.8512,7.98,0,0.41,197,9
-0.5972,38.461,13.56,1,0.49,152,9
0.4838,38.9588,13.15,1,0.65,65,9
-1.5735,39.5809,16.53,1,0.26,176,6
-0.7592,38.7582,6.03,0,0.62,73,9
0.2058,37.5931,13.32,1,0.62,167,8
-0.4126,37.7411,11.83,0,0.23,51,1
0.7024,36.365,7.91,1,0.46,52,7
0.3688,37.0672,15.69,0,0.39,175,0
-1.647,37.7138,7.37,0,0.46,162,1
0.3259,36.0022,10.02,1,0.76,142,2
-1.6698,35.1928,12.14,1,0.37,142,7
-1.6039,38.5807,1.15,1,0.7,96,4
1.9453,39.903,11.58,0,0.23,194,5
-1.6127,35.669,18.49,0,0.56,189,10
0.6296,37.0986,6.73,0,0.74,52,4
-1.8351,39.5237,15.47,0,0.29,119,8
0.9523,35.3806,11.81,0,0.25,112,8
0.1089,35.4879,7.45,0,0.21,60,4
1.7099,35.0207,4.15,0,0.35,179,0
1.7542,35.7475,19.69,0,0.45,104,9
-1.3448,35.0972,11.71,0,0.41,86,10
0.137,35.4855,19.85,0,0.27,73,6
-0.205,38.7331,16.33,0,0.35,103,6
-1.3266,37.1686,11.88,1,0.79,54,8
-0.9151,35.7258,3.59,0,0.24,52,4
0.3483,38.6395,14.54,0,0.71,90,9
-1.1251,37.0466,1.47,0,0.65,139,9
1.2779,35.9977,16.97,0,0.39,74,2
-0.6062,37.8587,16.51,0,0.73,117,4
1.6424,35.1343,18.98,0,0.39,98,2
-0.3565,35.7794,15.98,1,0.58,151,0
-0.3544,38.3234,13.94,1,0.25,199,7
0.5189,37.2767,6.66,0,0.35,119,3
0.8869,35.2163,9.89,0,0.32,59,0
-1.802,36.924,9.57,1,0.64,109,2
1.0795,38.551,18.21,1,0.31,130,4
-1.7429,38.5809,6.98,0,0.42,135,9
-0.4858,36.7242,5.17,0,0.22,62,10
-1.5359,38.7092,9.59,0,0.46,186,4
-1.862,39.7341,12.48,1,0.58,188,7
1.2999,39.4353,8.15,1,0.47,198,0
0.9177,39.0359,3.4,1,0.63,137,1
-0.6441,36.4238,5.21,1,0.73,126,9
-1.006,39.027,13.06,1,0.37,107,0
0.1562,39.7405,9.05,0,0.47,62,9
0.5651,35.6658,1.85,1,0.59,167,3
-1.8296,37.3741,13.43,1,0.54,134,3
0.7387,36.478,7.42,1,0.21,162,7
-0.3063,37.5316,6.29,0,0.65,116,0
-1.7462,39.6216,18.34,1,0.77,152,8
1.204,38.4984,4.32,0,0.57,123,5
1.3147,38.4303,3.32,0,0.49,187,6
0.0715,38.6692,16.16,1,0.59,153,2
-1.9818,37.6396,9.88,0,0.64,170,0
-0.8573,35.7337,1.68,0,0.27,170,5
1.1881,38.4408,15.24,1,0.65,135,3
0.7863,36.6028,13.69,1,0.73,80,5
0.7741,38.5463,10.34,0,0.63,139,9
-0.6239,39.2176,13.94,0,0.59,181,3
1.1034,39.733,12.29,0,0.39,149,5
-0.9434,36.3267,2.85,1,0.58,144,1
-0.6257,35.7839,9.92,0,0.78,67,4
0.3624,35.3413,19.03,0,0.46,103,7
1.893,37.0462,11.47,0,0.7,142,6
0.7629,37.6127,13.48,0,0.6,86,5
0.9138,36.3391,14.46,1,0.53,189,5
-0.71,36.3837,9.01,1,0.57,140,9
0.1634,35.2861,9.11,0,0.68,97,1
0.8577,36.7781,9.37,0,0.53,198,7
1.054,38.4557,1.38,0,0.45,88,5
-0.3146,38.1471,11.19,0,0.58,129,2
-1.134,38.5909,13.71,1,0.63,155,8
0.6357,39.2429,4.96,0,0.71,124,9
-1.3496,39.3333,12.7,0,0.65,80,8
1.3945,37.1527,9.43,1,0.67,168,3
1.7719,37.6514,2.93,0,0.68,190,4
1.7975,35.0851,17.05,1,0.33,108,5
-1.5976,35.9567,5.74,1,0.44,196,2
0.2034,39.5093,9.52,1,0.67,100,6
-0.3392,39.8501,11.47,0,0.38,84,7
-1.4854,37.4996,13.06,0,0.61,161,7
-0.0486,36.5847,10.91,1,0.62,51,7
0.3144,36.5252,8.07,1,0.6,115,2
-1.3413,35.8282,5.96,1,0.34,70,8
0.3462,38.8938,13.27,0,0.35,142,10
1.739,39.0424,7.76,1,0.41,52,7
1.6376,39.869,7.44,1,0.64,50,0
-0.7371,37.9432,12.28,0,0.52,155,7
-1.7381,36.2538,19.51,1,0.5,84,8
1.7512,36.2629,1.42,0,0.38,121,2
0.9396,36.6585,6.97,0,0.75,100,5
1.4363,39.9038,19.19,0,0.33,66,4
1.3656,35.8107,10.54,1,0.57,64,2
-1.4918,38.5644,14.98,1,0.54,112,7
1.0682,35.7433,8.63,1,0.75,124,0
-0.8498,37.7257,10.68,1,0.5,157,5
0.1617,35.7229,13.84,1,0.62,182,8
-0.9152,36.6774,7.14,1,0.41,134,9
-0.5784,39.0355,19.06,0,0.65,169,5
0.8359,36.1611,11.19,1,0.47,105,7
0.9681,35.562,9.74,1,0.52,162,7
-0.205,38.5817,1.43,1,0.58,92,6
-1.4799,36.1766,10.95,0,0.57,61,1
1.0847,35.8174,9.9,1,0.35,58,1
-0.878,36.0265,8.38,0,0.52,54,0
0.8838,35.5999,19.6,0,0.24,111,1
-1.1864,35.1918,18.54,0,0.65,148,5
-0.5014,36.5475,10.92,0,0.63,89,0
-0.042,39.8174,9.43,1,0.79,172,10
-0.6185,37.3922,3.15,0,0.45,133,4
-1.8369,38.012,5.01,0,0.4,105,0
-0.879,39.8666,6.72,0,0.59,63,9
-0.0825,35.239,4.99,1,0.48,54,6
-0.2865,37.6874,15.78,1,0.66,111,4
0.3002,38.5117,5.76,0,0.63,139,10
-0.8986,35.9801,10.64,0,0.31,88,3
0.9876,38.1228,11.16,0,0.69,194,5
-0.2048,36.3458,1.08,1,0.35,99,3
-0.8397,35.9855,9.52,1,0.51,167,10
-1.0452,37.8417,10.95,0,0.8,90,5
-1.5713,35.2218,1.48,1,0.59,72,2
-0.7256,38.8344,17.43,1,0.53,78,10
-1.6056,39.2794,14.0,1,0.55,112,10
0.1321,39.0144,19.75,0,0.56,66,6
1.1449,37.186,19.57,1,0.46,166,7
1.1236,39.9389,1.65,0,0.56,133,4
-0.0642,35.105,16.87,0,0.26,188,10
1.6209,35.3717,8.16,0,0.69,54,0
1.7255,37.3099,8.69,0,0.43,143,8
0.4656,39.979,19.74,1,0.4,54,6
-0.69,39.7856,2.43,0,0.62,52,9
-0.7998,36.4296,10.74,0,0.4,68,2
1.4874,38.9293,16.44,1,0.79,190,5
0.2388,36.57,18.6,0,0.46,107,2
-1.1773,36.7212,12.83,1,0.24,157,1
-1.6148,39.0612,10.52,0,0.4,50,6
-1.1025,37.6102,1.24,1,0.35,169,4
-1.216,38.9401,18.98,1,0.41,83,3
1.4834,35.9865,12.06,1,0.62,188,10
-1.1987,35.1818,18.47,0,0.21,102,10
0.5274,39.8419,3.36,0,0.41,165,3
0.2097,38.8773,12.23,0,0.55,196,5
0.1539,35.6303,13.95,1,0.28,137,5
0.4682,39.8397,17.96,1,0.71,78,7
0.3016,36.7267,17.45,1,0.55,158,8
1.735,39.0404,9.8,1,0.74,167,5
1.5157,38.104,15.33,0,0.69,69,1
0.3409,35.3145,12.07,0,0.65,120,4
1.2225,35.0105,9.83,1,0.49,164,2
-0.4546,37.2205,19.54,1,0.68,96,3
0.0906,39.087,3.03,0,0.43,129,7
-0.7397,38.4505,17.67,1,0.51,85,7
-0.1799,35.4856,5.77,1,0.4,54,10
-0.2039,36.0997,2.96,1,0.38,63,7
1.2726,39.9419,10.44,1,0.59,139,5
0.9492,39.715,14.57,0,0.7,109,8
0.0887,38.7822,16.02,1,0.43,107,10
-0.7545,39.1297,14.27,0,0.6,76,0
-0.3843,37.6534,1.52,0,0.32,54,2
-0.0887,36.4907,18.9,0,0.62,161,5
0.1404,37.5306,9.57,1,0.29,89,0
0.3769,36.5633,13.03,1,0.31,107,9
1.1124,37.7716,15.63,0,0.5,67,1
-1.0036,36.6924,17.92,0,0.32,129,0
1.9142,38.8005,2.13,1,0.29,77,1
-0.5442,35.8588,9.9,1,0.57,189,9
-1.2183,37.1768,2.87,1,0.23,145,1
-1.2573,36.6003,16.81,0,0.77,191,6
-0.569,38.5839,8.8,1,0.51,177,5
0.4428,38.0301,4.89,1,0.57,173,4
1.4534,37.9957,18.58,0,0.33,192,8
-0.0452,39.3427,4.78,1,0.26,65,5
-0.0257,35.5307,7.19,0,0.4,157,9
-1.4688,37.1398,13.9,1,0.72,81,3
0.7131,35.6853,12.09,1,0.77,56,7
-1.9774,39.0271,2.83,0,0.43,110,5
-1.5181,39.6519,7.71,0,0.49,134,1
0.402,39.5751,3.55,0,0.69,177,10
0.9815,35.4334,15.76,0,0.22,113,0
1.6923,37.0179,10.32,1,0.33,158,5
1.3399,38.6248,14.13,1,0.27,151,3
1.0846,36.4046,2.38,0,0.79,186,9
1.1384,35.4545,14.34,1,0.3,53,7
1.7325,35.9979,8.41,1,0.33,158,2
-1.2921,38.0434,9.2,1,0.78,76,8
1.4821,39.3532,2.88,0,0.69,128,0
1.2514,35.9984,16.74,1,0.48,184,9
-0.6804,37.3056,4.96,1,0.35,54,6
0.3476,36.3683,11.02,1,0.72,179,0
-1.3186,39.8986,3.46,0,0.59,132,10
1.8704,38.0331,3.88,1,0.58,165,5
0.4434,36.4392,17.45,0,0.69,200,1
-1.0205,36.4912,16.23,1,0.38,178,10
-1.566,37.1168,19.7,0,0.72,93,5
-1.1076,38.3777,14.09,0,0.78,105,3
1.2634,36.8438,16.78,0,0.52,165,8
1.1332,35.4731,7.81,0,0.74,149,8
0.1764,35.9435,11.36,1,0.43,177,3
